id,id_session,session,panas_start_pos,panas_start_neg,panas_end_pos,panas_end_neg,ios_start,ios_end
12001,12001,1,35,16,38,12,1,1
12001,,2,30,11,43,10,1,2
12001,,3,27,10,37,10,1,2
12001,,4,28,16,35,10,1,2
12001,,5,35,10,44,10,2,2
12001,,6,33,10,41,10,1,3
12001,,7,26,10,41,10,1,2
12002,,1,33,16,32,12,1,3
12002,,2,29,11,33,10,2,3
12002,,3,26,12,31,10,2,3
12002,,4,25,11,19,12,2,2
12002,,5,18,11,29,10,2,3
12002,,6,23,10,30,10,2,3
12003,,1,40,24,46,19,1,5
12003,,2,33,23,40,12,4,6
12003,,3,42,15,48,10,6,7
12003,,4,47,18,50,15,7,7
12003,,5,47,19,50,13,6,7
12003,,6,49,16,49,11,7,7
12004,,1,29,27,36,18,1,2
12004,,2,40,26,38,20,2,4
12004,,3,29,21,39,15,4,5
12004,,4,36,22,30,23,5,6
12004,,5,21,20,40,15,4,5
12004,,6,27,22,38,14,4,6
12004,,7,32,15,34,10,6,6
12005,,1,26,18,30,10,1,3
12005,,2,22,15,30,12,2,3
12005,,3,23,12,29,10,3,3
12005,,4,22,11,34,10,3,3
12005,,5,19,10,39,10,3,4
12005,,6,28,10,39,10,3,4
12005,,7,31,11,40,10,5,5
12006,,1,24,23,34,15,1,2
12006,,2,26,21,39,15,3,4
12006,,3,27,23,40,14,4,6
12006,,4,18,21,29,19,5,5
12006,,5,26,19,41,13,5,6
12006,,6,23,15,39,12,5,6
12006,,7,29,18,41,11,6,7
12007,,1,41,16,37,10,2,7
12007,,2,38,10,40,10,5,7
12007,,3,35,11,38,10,6,7
12007,,4,36,12,38,12,7,7
12007,,5,36,14,35,10,7,7
12007,,6,36,12,39,12,7,7
12007,,7,38,10,38,13,7,7
12008,,1,31,10,41,10,1,3
12008,,2,34,10,40,10,2,2
12008,,3,41,13,47,10,3,3
12008,,4,36,10,39,10,3,3
12008,,5,19,12,22,11,3,3
12008,,6,38,10,49,10,4,4
12008,,7,34,10,44,10,4,4
12010,,1,22,12,30,10,1,2
12010,,2,29,15,27,17,2,2
12010,,3,25,15,32,10,2,3
12010,,4,24,11,29,10,3,3
12010,,5,24,11,21,13,3,3
12010,,6,15,10,30,10,3,3
12010,,7,24,10,26,10,3,3
12011,,1,41,12,42,10,1,4
12011,,2,38,13,,,4,
12011,,3,32,14,49,10,5,6
12011,,4,39,13,45,10,6,6
12011,,5,35,10,46,10,6,7
12011,,6,31,12,45,10,6,7
12011,,7,45,10,50,10,7,7
12012,,1,47,10,49,10,1,7
12012,,2,47,10,50,10,6,7
12012,,3,50,11,50,10,7,7
12012,,4,50,11,50,10,7,7
12012,,5,50,10,50,10,7,7
12012,,6,50,10,50,10,7,7
12012,,7,50,10,50,10,7,7
12013,,1,30,28,30,14,3,4
12013,,2,28,13,36,12,3,4
12013,,3,32,12,35,20,3,4
12013,,4,29,12,34,16,3,5
12013,,5,27,16,26,17,3,5
12013,,6,29,11,31,12,4,6
12013,,7,32,12,37,13,4,5
12014,,1,34,14,39,13,1,3
12014,,2,35,16,38,13,4,5
12014,,3,22,10,37,10,4,5
12014,,4,34,10,41,11,4,6
12014,,5,28,18,37,13,4,5
12014,,6,13,14,35,14,5,6
12014,,7,24,13,31,11,5,6
