"session","variable","n","mean","sd"
1,"ios",12,1.25,0.622
1,"panas_neg",12,17.5,6.488
1,"panas_pos",12,33.333,7.726
2,"ios",12,3.167,1.467
2,"panas_neg",12,15.25,5.396
2,"panas_pos",12,33.333,6.867
3,"ios",12,4,1.758
3,"panas_neg",12,13.917,4.166
3,"panas_pos",12,32.083,8.544
4,"ios",12,4.5,1.977
4,"panas_neg",12,13.917,4.274
4,"panas_pos",12,33.25,9.612
5,"ios",12,4.417,1.73
5,"panas_neg",12,14.083,4.078
5,"panas_pos",12,30.583,10.264
6,"ios",12,4.667,1.875
6,"panas_neg",12,12.667,3.627
6,"panas_pos",12,31,11.426
7,"ios",11,5,1.897
7,"panas_neg",11,11.727,2.649
7,"panas_pos",11,33.182,8.316
