id,session,pq1,nq2,pq3,nq4,pq5,nq6,nq7,nq8,pq9,pq10,nq11,pq12,nq13,pq14,nq15,pq16,pq17,nq18,pq19,nq20,panas_end_pos,panas_end_neg
12001,1,4,1,4,1,3,1,1,1,4,3,1,3,1,4,2,5,4,1,4,1,38,12
12001,2,5,1,5,1,5,1,1,1,5,5,1,3,1,5,1,4,3,1,3,1,43,10
12001,3,4,1,4,1,3,1,1,1,4,4,1,3,1,5,1,5,3,1,2,1,37,10
12001,4,4,1,4,1,4,1,1,1,4,4,1,1,1,4,1,4,3,1,3,1,35,10
12001,5,5,1,4,1,5,1,1,1,5,5,1,3,1,5,1,5,4,1,3,1,44,10
12001,6,4,1,4,1,4,1,1,1,4,5,1,3,1,5,1,5,4,1,3,1,41,10
12001,7,5,1,5,1,5,1,1,1,4,5,1,3,1,4,1,4,3,1,3,1,41,10
12003,1,5,3,4,1,5,1,2,1,5,5,1,4,1,5,4,5,4,3,4,2,46,19
12003,2,5,2,4,1,4,1,1,1,4,4,1,4,1,4,2,5,4,1,2,1,40,12
12003,3,5,1,5,1,5,1,1,1,5,5,1,4,1,5,1,5,5,1,4,1,48,10
12003,4,5,2,5,1,5,2,1,1,5,5,1,5,1,5,2,5,5,2,5,2,50,15
12003,5,5,2,5,1,5,1,2,1,5,5,1,5,1,5,1,5,5,1,5,2,50,13
12003,6,5,1,5,1,5,1,1,1,5,5,1,4,1,5,2,5,5,1,5,1,49,11
12004,1,5,2,3,2,4,2,2,2,4,4,2,2,1,5,1,1,4,1,4,1,36,18
12004,2,5,5,4,2,3,1,1,2,3,3,2,2,2,4,2,5,5,2,4,1,38,20
12004,3,5,2,5,1,5,1,1,2,5,3,1,1,1,5,1,3,3,2,4,2,39,15
12004,4,5,2,4,3,4,2,3,2,3,2,2,2,2,3,3,2,2,2,3,2,30,23
12004,5,5,2,4,1,5,2,2,2,5,4,1,1,1,4,1,4,4,1,4,1,40,15
12004,6,5,2,5,2,5,1,1,2,5,4,1,1,1,5,1,1,3,1,4,1,38,14
12004,7,5,1,4,1,4,1,1,1,4,4,1,1,1,4,1,3,1,1,4,1,34,10
12005,1,4,1,2,1,2,1,1,1,3,3,1,4,1,3,1,2,4,1,3,1,30,10
12005,2,4,1,3,1,2,1,1,1,3,3,1,3,1,3,2,3,3,2,3,1,30,12
12005,3,4,1,3,1,2,1,1,1,3,3,1,3,1,3,1,2,3,1,3,1,29,10
12005,4,4,1,4,1,3,1,1,1,4,3,1,4,1,3,1,3,3,1,3,1,34,10
12005,5,4,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,39,10
12005,6,4,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,39,10
12005,7,4,1,4,1,4,1,1,1,4,4,1,4,1,4,1,4,4,1,4,1,40,10
12006,1,4,1,3,1,3,2,2,1,4,2,2,4,3,4,2,4,4,1,2,1,34,15
12006,2,5,1,4,1,4,2,2,1,5,3,1,3,1,5,3,4,4,2,2,1,39,15
12006,3,4,1,5,1,4,2,2,1,4,4,1,4,1,4,3,4,4,1,3,1,40,14
12006,4,3,2,3,1,3,2,3,1,3,3,2,3,2,3,3,3,3,2,2,1,29,19
12006,5,4,1,4,1,4,1,2,1,4,4,1,5,1,5,2,4,4,1,3,1,41,13
12006,6,4,1,4,1,3,2,1,1,4,5,1,3,1,5,2,4,4,1,3,1,39,12
