id,session,pq1,nq2,pq3,nq4,pq5,nq6,nq7,nq8,pq9,pq10,nq11,pq12,nq13,pq14,nq15,pq16,pq17,nq18,pq19,nq20,panas_start_pos,panas_start_neg
12001,1,4,1,3,1,4,4,1,1,4,3,1,4,2,3,2,4,4,2,2,1,35,16
12001,2,4,1,2,1,3,2,1,1,3,3,1,3,1,3,1,3,3,1,3,1,30,11
12001,3,4,1,3,1,3,1,1,1,3,3,1,2,1,3,1,2,2,1,2,1,27,10
12001,4,3,2,3,2,2,1,2,1,3,3,1,3,1,3,2,3,2,2,3,2,28,16
12001,5,3,1,3,1,3,1,1,1,3,3,1,5,1,3,1,4,5,1,3,1,35,10
12001,6,3,1,3,1,3,1,1,1,4,4,1,3,1,4,1,3,3,1,3,1,33,10
12001,7,4,1,3,1,3,1,1,1,3,2,1,2,1,2,1,2,3,1,2,1,26,10
12003,1,4,3,4,2,4,1,3,1,4,4,3,4,1,5,4,4,3,4,4,2,40,24
12003,2,5,2,4,2,3,2,2,1,3,3,4,3,1,3,4,3,3,3,3,2,33,23
12003,3,5,2,5,1,4,1,2,1,5,5,2,4,1,5,2,2,4,1,3,2,42,15
12003,4,5,2,5,1,5,3,2,1,5,4,1,5,1,4,4,5,4,2,5,1,47,18
12003,5,4,3,4,1,5,2,2,1,5,5,1,5,1,5,5,5,5,2,4,1,47,19
12003,6,4,2,5,1,5,1,1,1,5,5,3,5,1,5,3,5,5,1,5,2,49,16
12004,1,3,2,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,29,27
12004,2,4,3,4,2,4,2,3,3,5,5,3,3,2,4,4,4,3,2,4,2,40,26
12004,3,4,2,3,2,3,2,2,3,3,3,2,2,2,3,2,2,3,2,3,2,29,21
12004,4,3,2,4,2,4,2,3,2,4,4,2,2,2,5,3,3,3,2,4,2,36,22
12004,5,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,21,20
12004,6,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,27,22
12004,7,3,2,3,2,4,1,2,1,4,3,2,2,1,4,2,3,4,1,2,1,32,15
12005,1,4,3,1,1,2,1,3,1,2,2,2,4,1,2,3,2,4,1,3,2,26,18
12005,2,3,3,2,1,2,1,1,1,2,1,2,3,1,2,2,2,3,2,2,1,22,15
12005,3,3,2,2,1,2,1,1,1,2,2,1,3,1,2,2,2,3,1,2,1,23,12
12005,4,2,1,2,1,2,1,1,1,2,2,1,3,1,2,1,2,3,2,2,1,22,11
12005,5,2,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,2,1,19,10
12005,6,4,1,3,1,2,1,1,1,3,3,1,3,1,3,1,2,3,1,2,1,28,10
12005,7,4,2,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,31,11
12006,1,3,3,4,2,1,4,2,1,3,1,2,3,2,1,4,4,3,2,1,1,24,23
12006,2,4,2,3,1,2,3,3,1,4,1,4,2,1,2,3,3,3,2,2,1,26,21
12006,3,3,1,4,2,3,4,3,1,3,2,4,2,1,3,4,3,3,2,1,1,27,23
12006,4,3,2,3,3,1,3,1,1,2,2,3,1,2,2,3,1,2,1,1,2,18,21
12006,5,4,2,4,2,2,4,1,1,2,2,2,2,2,3,3,2,3,1,2,1,26,19
12006,6,4,1,4,2,2,3,1,1,2,2,2,1,1,3,2,3,1,1,1,1,23,15
12006,7,4,2,3,2,4,3,1,1,2,4,2,2,1,3,3,3,3,2,1,1,29,18
12007,1,5,2,5,1,1,1,1,1,5,4,2,5,1,5,5,5,5,1,1,1,41,16
12007,2,4,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,3,1,38,10
12007,3,4,1,4,1,2,1,1,1,4,3,1,4,1,4,2,4,4,1,2,1,35,11
12007,4,4,1,4,1,3,1,1,1,4,4,1,4,1,4,3,4,4,1,1,1,36,12
12007,5,4,1,4,1,2,1,1,1,4,4,1,4,1,4,3,4,4,3,2,1,36,14
12007,6,4,1,4,1,3,1,1,1,4,3,1,4,1,3,3,4,4,1,3,1,36,12
12007,7,4,1,4,1,3,1,1,1,4,4,1,4,1,4,1,4,4,1,3,1,38,10
12008,1,4,1,3,1,3,1,1,1,4,3,1,4,1,3,1,3,3,1,1,1,31,10
12008,2,4,1,4,1,3,1,1,1,4,3,1,4,1,2,1,3,4,1,3,1,34,10
12008,3,4,1,3,1,4,1,1,4,4,3,1,5,1,4,1,4,5,1,5,1,41,13
12008,4,4,1,3,1,4,1,1,1,3,3,1,4,1,3,1,4,4,1,4,1,36,10
12008,5,3,2,1,1,2,1,2,1,2,2,1,1,1,1,1,3,2,1,2,1,19,12
12008,6,4,1,4,1,4,1,1,1,4,3,1,4,1,4,1,3,4,1,4,1,38,10
12008,7,3,1,4,1,4,1,1,1,3,3,1,4,1,3,1,3,3,1,4,1,34,10
12010,1,3,1,2,1,1,1,1,1,1,2,1,4,1,1,2,2,4,2,2,1,22,12
12010,2,4,1,3,1,3,1,2,1,2,3,1,4,1,1,3,3,3,2,3,2,29,15
12010,3,3,1,2,1,2,1,1,1,1,2,1,3,1,2,4,4,3,3,3,1,25,15
12010,4,4,1,2,1,2,1,1,1,2,2,1,3,1,2,2,3,3,1,1,1,24,11
12010,5,3,1,2,1,2,1,1,1,2,3,1,3,1,2,2,2,3,1,2,1,24,11
12010,6,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,15,10
12010,7,3,1,2,1,2,1,1,1,2,3,1,3,1,2,1,2,3,1,2,1,24,10
12011,1,5,1,4,1,4,2,1,1,4,4,1,4,1,4,1,4,4,2,4,1,41,12
12011,2,4,3,4,1,4,1,1,1,4,4,2,4,1,4,1,2,4,1,4,1,38,13
12011,3,4,3,3,2,4,1,1,1,3,3,2,3,1,3,1,3,3,1,3,1,32,14
12011,4,4,2,4,1,4,1,1,1,4,4,2,3,1,4,1,4,4,2,4,1,39,13
12011,5,4,1,4,1,4,1,1,1,4,4,1,1,1,4,1,3,3,1,4,1,35,10
12011,6,4,2,3,1,3,1,1,1,3,3,2,3,1,3,1,3,3,1,3,1,31,12
12011,7,5,1,4,1,5,1,1,1,5,5,1,4,1,5,1,4,4,1,4,1,45,10
12012,1,4,1,4,1,5,1,1,1,4,5,1,5,1,5,1,5,5,1,5,1,47,10
12012,2,4,1,4,1,5,1,1,1,5,5,1,4,1,5,1,5,5,1,5,1,47,10
12012,3,5,1,5,1,5,1,1,1,5,5,2,5,1,5,1,5,5,1,5,1,50,11
12012,4,5,1,5,1,5,1,1,1,5,5,2,5,1,5,1,5,5,1,5,1,50,11
12012,5,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,6,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12012,7,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,5,1,50,10
12013,1,4,3,3,3,2,4,2,1,4,1,2,4,3,2,4,3,4,4,3,2,30,28
12013,2,4,1,3,1,2,2,1,1,3,2,1,2,1,2,2,3,4,2,3,1,28,13
12013,3,4,1,3,1,3,2,1,1,4,2,1,3,2,3,1,3,4,1,3,1,32,12
12013,4,4,1,2,1,3,1,2,1,3,3,1,2,1,3,1,2,4,2,3,1,29,12
12013,5,4,3,3,1,2,3,1,1,3,4,1,2,1,2,2,3,3,2,1,1,27,16
12013,6,4,2,3,1,2,1,1,1,4,3,1,2,1,2,1,3,4,1,2,1,29,11
12013,7,4,2,3,1,3,1,1,1,4,2,1,3,1,3,2,4,3,1,3,1,32,12
12014,1,3,2,4,1,4,1,1,1,4,4,2,3,1,3,1,3,3,3,3,1,34,14
12014,2,3,3,3,2,5,2,1,1,3,3,2,3,1,4,1,4,3,2,4,1,35,16
12014,3,3,1,2,1,3,1,1,1,2,2,1,2,1,2,1,2,2,1,2,1,22,10
12014,4,5,1,4,1,4,1,1,1,4,3,1,2,1,3,1,3,3,1,3,1,34,10
12014,5,3,3,2,3,3,1,1,3,2,2,3,4,1,2,1,4,3,1,3,1,28,18
12014,6,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,13,14
12014,7,3,2,2,2,3,1,1,1,2,2,2,3,1,2,1,3,2,1,2,1,24,13
